iter	Passed	Remaining
157	1061	5656
158	1067	5646
159	1073	5638
160	1080	5629
161	1086	5620
162	1092	5610
163	1098	5602
164	1105	5592
165	1111	5585
166	1120	5587
167	1126	5578
168	1132	5568
169	1138	5560
170	1145	5553
171	1151	5542
172	1156	5530
173	1163	5522
174	1169	5515
175	1176	5507
176	1182	5500
177	1188	5489
178	1194	5479
179	1200	5467
180	1205	5456
181	1211	5443
182	1216	5430
183	1221	5417
184	1227	5405
185	1233	5399
186	1239	5390
187	1245	5378
188	1250	5366
189	1256	5354
190	1261	5343
191	1267	5332
192	1272	5320
193	1278	5312
194	1285	5305
195	1291	5298
196	1299	5297
197	1306	5290
198	1312	5281
199	1326	5304
200	1334	5304
201	1342	5302
202	1347	5292
203	1353	5280
204	1358	5269
205	1364	5257
206	1369	5245
207	1374	5235
208	1380	5223
209	1385	5212
210	1391	5203
211	1397	5194
212	1402	5180
213	1407	5170
214	1413	5159
215	1418	5148
216	1424	5140
217	1430	5131
218	1436	5121
219	1441	5111
220	1447	5101
221	1452	5091
222	1457	5079
223	1463	5068
224	1468	5058
225	1474	5050
226	1480	5042
227	1488	5038
228	1494	5031
229	1500	5024
230	1506	5015
231	1512	5007
232	1519	5002
233	1526	4996
234	1532	4987
235	1538	4979
236	1543	4970
237	1549	4961
238	1555	4951
239	1560	4942
240	1566	4933
241	1571	4923
242	1578	4916
243	1584	4908
244	1590	4902
245	1597	4896
246	1603	4889
247	1610	4883
248	1617	4878
249	1625	4876
250	1632	4871
251	1638	4864
252	1645	4857
253	1651	4851
254	1658	4843
255	1664	4836
256	1671	4831
257	1679	4830
258	1686	4825
259	1693	4820
260	1701	4816
261	1708	4813
262	1715	4808
263	1723	4804
264	1729	4796
265	1735	4789
266	1741	4780
267	1747	4772
268	1753	4763
269	1758	4755
270	1764	4747
271	1770	4739
272	1776	4730
273	1782	4723
274	1789	4716
275	1796	4712
276	1803	4706
277	1809	4700
278	1816	4694
279	1822	4687
280	1829	4680
281	1835	4674
282	1842	4669
283	1850	4664
284	1857	4659
285	1863	4653
286	1870	4646
287	1876	4638
288	1883	4632
289	1891	4630
290	1898	4625
291	1905	4620
292	1912	4614
293	1919	4608
294	1926	4602
295	1933	4598
296	1940	4593
297	1949	4591
298	1957	4590
299	1965	4585
300	1971	4578
301	1978	4573
302	1986	4569
303	1993	4564
304	2000	4558
305	2007	4553
306	2016	4550
307	2023	4545
308	2030	4539
309	2036	4533
310	2043	4528
311	2050	4522
312	2057	4515
313	2063	4509
314	2071	4504
315	2075	4492
316	2082	4487
317	2090	4482
318	2096	4476
319	2102	4468
320	2109	4461
321	2115	4453
322	2120	4445
323	2126	4437
324	2132	4429
325	2139	4422
326	2145	4415
327	2151	4408
328	2157	4400
329	2163	4392
330	2169	4385
331	2175	4377
332	2182	4371
333	2190	4367
334	2196	4361
335	2204	4356
336	2212	4352
337	2222	4353
338	2233	4355
339	2243	4355
340	2251	4351
341	2259	4347
342	2268	4345
343	2276	4341
344	2284	4336
345	2292	4333
346	2299	4328
347	2307	4322
348	2313	4315
349	2319	4308
350	2325	4300
351	2332	4293
352	2339	4287
353	2345	4280
354	2351	4272
355	2357	4265
356	2363	4257
357	2370	4251
358	2377	4244
359	2383	4238
360	2392	4234
361	2400	4230
362	2407	4224
363	2414	4218
364	2420	4210
365	2426	4203
366	2434	4199
367	2441	4193
368	2448	4187
369	2454	4179
370	2460	4171
371	2466	4164
372	2473	4157
373	2479	4150
374	2486	4143
375	2491	4135
376	2497	4127
377	2504	4121
378	2511	4114
379	2517	4107
380	2523	4099
381	2529	4091
382	2535	4084
383	2541	4076
384	2547	4068
385	2553	4062
386	2560	4055
387	2569	4052
388	2576	4046
389	2583	4040
390	2590	4034
391	2597	4029
392	2604	4023
393	2612	4017
394	2619	4011
395	2626	4006
396	2633	4000
397	2640	3993
398	2647	3987
399	2653	3980
400	2660	3973
401	2666	3966
402	2673	3961
403	2682	3957
404	2690	3952
405	2698	3947
406	2706	3943
407	2714	3938
408	2722	3934
409	2730	3929
410	2739	3926
411	2747	3921
412	2753	3913
413	2760	3907
414	2766	3899
415	2773	3893
416	2779	3885
